Inge de Bruijn,30,2004,8/29/04,Swimming,1,1,2,4
Inge de Bruijn,27,2000,10/1/00,Swimming,3,1,0,4
Pieter van den Hoogenband,22,2000,10/1/00,Swimming,2,0,2,4
Leontien Zijlaard-van Moorsel,30,2000,10/1/00,Cycling,3,1,0,4
Ranomi Kromowidjojo,21,2012,8/12/12,Swimming,2,1,0,3
Pieter van den Hoogenband,26,2004,8/29/04,Swimming,1,2,0,3
Jochem Uytdehaage,25,2002,2/24/02,Speed Skating,2,1,0,3
Marleen Veldhuis,33,2012,8/12/12,Swimming,0,1,1,2
Sven Kramer,23,2010,2/28/10,Speed Skating,1,0,1,2
Mark Tuitert,29,2010,2/28/10,Speed Skating,1,0,1,2
Sven Kramer,19,2006,2/26/06,Speed Skating,0,1,1,2
Carl Verheijen,30,2006,2/26/06,Speed Skating,0,0,2,2
Erben Wennemars,30,2006,2/26/06,Speed Skating,0,0,2,2
Ireen Wüst,19,2006,2/26/06,Speed Skating,1,0,1,2
Pieta van Dishoeck,28,2000,10/1/00,Rowing,0,2,0,2
Eeke van Nes,31,2000,10/1/00,Rowing,0,2,0,2
Adelinde Cornelissen,33,2012,8/12/12,Equestrian,0,1,1,2
Gerco Schröder,34,2012,8/12/12,Equestrian,0,2,0,2
Anky van Grunsven,40,2008,8/24/08,Equestrian,1,1,0,2
Anky van Grunsven,32,2000,10/1/00,Equestrian,1,1,0,2
Leontien Zijlaard-van Moorsel,34,2004,8/29/04,Cycling,1,0,1,2
Mieke Cabout,22,2008,8/24/08,Waterpolo,1,0,0,1
Daniëlle de Bruijn,30,2008,8/24/08,Waterpolo,1,0,0,1
Rianne Guichelaar,24,2008,8/24/08,Waterpolo,1,0,0,1
Biurakn Hakhverdian,22,2008,8/24/08,Waterpolo,1,0,0,1
Noeki Klein,25,2008,8/24/08,Waterpolo,1,0,0,1
Simone Koot,27,2008,8/24/08,Waterpolo,1,0,0,1
Alette Sijbring,26,2008,8/24/08,Waterpolo,1,0,0,1
Yasemin Smit,23,2008,8/24/08,Waterpolo,1,0,0,1
Iefke van Belkum,22,2008,8/24/08,Waterpolo,1,0,0,1
Gillian van den Berg,36,2008,8/24/08,Waterpolo,1,0,0,1
Marieke van den Ham,25,2008,8/24/08,Waterpolo,1,0,0,1
Ilse van der Meijden,19,2008,8/24/08,Waterpolo,1,0,0,1
Kristie Boogert,26,2000,10/1/00,Tennis,0,1,0,1
Miriam Oremans,28,2000,10/1/00,Tennis,0,1,0,1
Inge Dekker,26,2012,8/12/12,Swimming,0,1,0,1
Femke Heemskerk,24,2012,8/12/12,Swimming,0,1,0,1
Hinkelien Schreuder,28,2012,8/12/12,Swimming,0,1,0,1
Inge Dekker,22,2008,8/24/08,Swimming,1,0,0,1
Femke Heemskerk,20,2008,8/24/08,Swimming,1,0,0,1
Ranomi Kromowidjojo,17,2008,8/24/08,Swimming,1,0,0,1
Hinkelien Schreuder,24,2008,8/24/08,Swimming,1,0,0,1
Maarten van der Weijden,27,2008,8/24/08,Swimming,1,0,0,1
Manon van Rooijen,26,2008,8/24/08,Swimming,1,0,0,1
Marleen Veldhuis,29,2008,8/24/08,Swimming,1,0,0,1
Inge Dekker,18,2004,8/29/04,Swimming,0,0,1,1
Chantal Groot,21,2004,8/29/04,Swimming,0,0,1,1
Johan Kenkhuis,24,2004,8/29/04,Swimming,0,1,0,1
Annabel Kosten,27,2004,8/29/04,Swimming,0,0,1,1
Mark Veens,26,2004,8/29/04,Swimming,0,1,0,1
Marleen Veldhuis,25,2004,8/29/04,Swimming,0,0,1,1
Mitja Zastrow,27,2004,8/29/04,Swimming,0,1,0,1
Klaas-Erik Zwering,23,2004,8/29/04,Swimming,0,1,0,1
Chantal Groot,17,2000,10/1/00,Swimming,0,1,0,1
Thamar Henneken,21,2000,10/1/00,Swimming,0,1,0,1
Johan Kenkhuis,20,2000,10/1/00,Swimming,0,0,1,1
Mark van der Zijden,26,2000,10/1/00,Swimming,0,0,1,1
Wilma van Rijn-van Hofwegen,29,2000,10/1/00,Swimming,0,1,0,1
Manon van Rooijen,18,2000,10/1/00,Swimming,0,1,0,1
Marcel Wouda,28,2000,10/1/00,Swimming,0,0,1,1
Martijn Zuijdweg,23,2000,10/1/00,Swimming,0,0,1,1
Jan Blokhuijsen,20,2010,2/28/10,Speed Skating,0,0,1,1
Bob de Jong,33,2010,2/28/10,Speed Skating,0,0,1,1
Annette Gerritsen,24,2010,2/28/10,Speed Skating,0,1,0,1
Simon Kuipers,27,2010,2/28/10,Speed Skating,0,0,1,1
Laurine van Riessen,22,2010,2/28/10,Speed Skating,0,0,1,1
Ireen Wüst,23,2010,2/28/10,Speed Skating,1,0,0,1
Bob de Jong,29,2006,2/26/06,Speed Skating,1,0,0,1
Renate Groenewold,29,2006,2/26/06,Speed Skating,0,1,0,1
Rintje Ritsma,35,2006,2/26/06,Speed Skating,0,0,1,1
Marianne Timmer,31,2006,2/26/06,Speed Skating,1,0,0,1
Mark Tuitert,25,2006,2/26/06,Speed Skating,0,0,1,1
Jan Bos,26,2002,2/24/02,Speed Skating,0,1,0,1
Renate Groenewold,25,2002,2/24/02,Speed Skating,0,1,0,1
Gianni Romme,29,2002,2/24/02,Speed Skating,0,1,0,1
Gretha Smit,26,2002,2/24/02,Speed Skating,0,1,0,1
Gerard van Velde,30,2002,2/24/02,Speed Skating,1,0,0,1
Nicolien Sauerbreij,30,2010,2/28/10,Snowboarding,1,0,0,1
Lobke Berkhout,31,2012,8/12/12,Sailing,0,0,1,1
Marit Bouwmeester,24,2012,8/12/12,Sailing,0,1,0,1
Dorian van Rijsselberge,23,2012,8/12/12,Sailing,1,0,0,1
Lisa Westerhof,30,2012,8/12/12,Sailing,0,0,1,1
Lobke Berkhout,27,2008,8/24/08,Sailing,0,1,0,1
Annemieke Bes,30,2008,8/24/08,Sailing,0,1,0,1
Marcelien Bos-de Koning,30,2008,8/24/08,Sailing,0,1,0,1
Mandy Mulder,21,2008,8/24/08,Sailing,0,1,0,1
Merel Witteveen,23,2008,8/24/08,Sailing,0,1,0,1
Margriet Matthijsse,23,2000,10/1/00,Sailing,0,1,0,1
Chantal Achterberg,27,2012,8/12/12,Rowing,0,0,1,1
Claudia Belderbos,27,2012,8/12/12,Rowing,0,0,1,1
Carline Bouw,27,2012,8/12/12,Rowing,0,0,1,1
Sytske de Groot,26,2012,8/12/12,Rowing,0,0,1,1
Annemiek de Haan,31,2012,8/12/12,Rowing,0,0,1,1
Nienke Kingma,30,2012,8/12/12,Rowing,0,0,1,1
Roline Repelaer van Driel,28,2012,8/12/12,Rowing,0,0,1,1
Anne Schellekens,26,2012,8/12/12,Rowing,0,0,1,1
Jacobine Veenhoven,28,2012,8/12/12,Rowing,0,0,1,1
Annemiek de Haan,27,2008,8/24/08,Rowing,0,1,0,1
Femke Dekker,29,2008,8/24/08,Rowing,0,1,0,1
Nienke Kingma,26,2008,8/24/08,Rowing,0,1,0,1
Roline Repelaer van Driel,24,2008,8/24/08,Rowing,0,1,0,1
Sarah Siegelaar,26,2008,8/24/08,Rowing,0,1,0,1
Marlies Smulders,26,2008,8/24/08,Rowing,0,1,0,1
Helen Tanger,29,2008,8/24/08,Rowing,0,1,0,1
Kirsten van der Kolk,32,2008,8/24/08,Rowing,1,0,0,1
Marit van Eupen,38,2008,8/24/08,Rowing,1,0,0,1
Annemarieke van Rumpt,28,2008,8/24/08,Rowing,0,1,0,1
Ester Workel,33,2008,8/24/08,Rowing,0,1,0,1
Michiel Bartman,37,2004,8/29/04,Rowing,0,1,0,1
Chun Wei Cheung,32,2004,8/29/04,Rowing,0,1,0,1
Annemiek de Haan,23,2004,8/29/04,Rowing,0,0,1,1
Hurnet Dekkers,30,2004,8/29/04,Rowing,0,0,1,1
Geert-Jan Derksen,29,2004,8/29/04,Rowing,0,1,0,1
Gerritjan Eggenkamp,28,2004,8/29/04,Rowing,0,1,0,1
Jan-Willem Gabriëls,25,2004,8/29/04,Rowing,0,1,0,1
Nienke Hommes,27,2004,8/29/04,Rowing,0,0,1,1
Daniël Mensch,25,2004,8/29/04,Rowing,0,1,0,1
Sarah Siegelaar,22,2004,8/29/04,Rowing,0,0,1,1
Diederik Simon,34,2004,8/29/04,Rowing,0,1,0,1
Marlies Smulders,22,2004,8/29/04,Rowing,0,0,1,1
Helen Tanger,25,2004,8/29/04,Rowing,0,0,1,1
Kirsten van der Kolk,28,2004,8/29/04,Rowing,0,0,1,1
Marit van Eupen,34,2004,8/29/04,Rowing,0,0,1,1
Annemarieke van Rumpt,24,2004,8/29/04,Rowing,0,0,1,1
Matthijs Vellenga,26,2004,8/29/04,Rowing,0,1,0,1
Gijs Vermeulen,23,2004,8/29/04,Rowing,0,1,0,1
Froukje Wegman,25,2004,8/29/04,Rowing,0,0,1,1
Ester Workel,29,2004,8/29/04,Rowing,0,0,1,1
Tessa Appeldoorn,27,2000,10/1/00,Rowing,0,1,0,1
Michiel Bartman,33,2000,10/1/00,Rowing,0,1,0,1
Dirk Lippits,23,2000,10/1/00,Rowing,0,1,0,1
Elien Meijer,30,2000,10/1/00,Rowing,0,1,0,1
Nelleke Penninx,29,2000,10/1/00,Rowing,0,1,0,1
Martijntje Quik,26,2000,10/1/00,Rowing,0,1,0,1
Diederik Simon,30,2000,10/1/00,Rowing,0,1,0,1
Carin ter Beek,29,2000,10/1/00,Rowing,0,1,0,1
Anneke Venema,29,2000,10/1/00,Rowing,0,1,0,1
Jochem Verberne,22,2000,10/1/00,Rowing,0,1,0,1
Marieke Westerhof,26,2000,10/1/00,Rowing,0,1,0,1
Edith Bosch,32,2012,8/12/12,Judo,0,0,1,1
Henk Grol,27,2012,8/12/12,Judo,0,0,1,1
Edith Bosch,28,2008,8/24/08,Judo,0,0,1,1
Deborah Gravenstijn,33,2008,8/24/08,Judo,0,1,0,1
Henk Grol,23,2008,8/24/08,Judo,0,0,1,1
Ruben Houkes,29,2008,8/24/08,Judo,0,0,1,1
Elisabeth Willeboordse,29,2008,8/24/08,Judo,0,0,1,1
Edith Bosch,24,2004,8/29/04,Judo,0,1,0,1
Deborah Gravenstijn,29,2004,8/29/04,Judo,0,0,1,1
Mark Huizinga,30,2004,8/29/04,Judo,0,0,1,1
Dennis van der Geest,29,2004,8/29/04,Judo,0,0,1,1
Mark Huizinga,27,2000,10/1/00,Judo,1,0,0,1
Marilyn Agliotti,33,2012,8/12/12,Hockey,1,0,0,1
Sander Baart,24,2012,8/12/12,Hockey,0,1,0,1
Billy Bakker,23,2012,8/12/12,Hockey,0,1,0,1
Marcel Balkestein,31,2012,8/12/12,Hockey,0,1,0,1
Merel de Blaey,25,2012,8/12/12,Hockey,1,0,0,1
Eva de Goede,23,2012,8/12/12,Hockey,1,0,0,1
Teun de Nooijer,36,2012,8/12/12,Hockey,0,1,0,1
Bob de Voogd,23,2012,8/12/12,Hockey,0,1,0,1
Sander de Wijn,22,2012,8/12/12,Hockey,0,1,0,1
Carlien Dirkse van den Heuvel,25,2012,8/12/12,Hockey,1,0,0,1
Floris Evers,29,2012,8/12/12,Hockey,0,1,0,1
Maartje Goderie,28,2012,8/12/12,Hockey,1,0,0,1
Rogier Hofman,25,2012,8/12/12,Hockey,0,1,0,1
Ellen Hoog,26,2012,8/12/12,Hockey,1,0,0,1
Tim Jenniskens,25,2012,8/12/12,Hockey,0,1,0,1
Wouter Jolie,27,2012,8/12/12,Hockey,0,1,0,1
Kelly Jonker,22,2012,8/12/12,Hockey,1,0,0,1
Robbert Kemperman,22,2012,8/12/12,Hockey,0,1,0,1
Kim Lammers,31,2012,8/12/12,Hockey,1,0,0,1
Maartje Paumen,26,2012,8/12/12,Hockey,1,0,0,1
Sophie Polkamp,27,2012,8/12/12,Hockey,1,0,0,1
Joyce Sombroek,21,2012,8/12/12,Hockey,1,0,0,1
Jaap Stockmann,28,2012,8/12/12,Hockey,0,1,0,1
Naomi van As,29,2012,8/12/12,Hockey,1,0,0,1
Robert van der Horst,27,2012,8/12/12,Hockey,0,1,0,1
Mink van der Weerden,23,2012,8/12/12,Hockey,0,1,0,1
Margot van Geffen,22,2012,8/12/12,Hockey,1,0,0,1
Caia van Maasakker,23,2012,8/12/12,Hockey,1,0,0,1
Kitty van Male,24,2012,8/12/12,Hockey,1,0,0,1
Valentin Verga,22,2012,8/12/12,Hockey,0,1,0,1
Klaas Vermeulen,24,2012,8/12/12,Hockey,0,1,0,1
Lidewij Welten,22,2012,8/12/12,Hockey,1,0,0,1
Roderick Weusthof,30,2012,8/12/12,Hockey,0,1,0,1
Marilyn Agliotti,29,2008,8/24/08,Hockey,1,0,0,1
Minke Booij,31,2008,8/24/08,Hockey,1,0,0,1
Eva de Goede,19,2008,8/24/08,Hockey,1,0,0,1
Lisanne de Roever,29,2008,8/24/08,Hockey,1,0,0,1
Wieke Dijkstra,24,2008,8/24/08,Hockey,1,0,0,1
Maartje Goderie,24,2008,8/24/08,Hockey,1,0,0,1
Ellen Hoog,22,2008,8/24/08,Hockey,1,0,0,1
Fátima Moreira de Melo,30,2008,8/24/08,Hockey,1,0,0,1
Eefke Mulder,30,2008,8/24/08,Hockey,1,0,0,1
Maartje Paumen,22,2008,8/24/08,Hockey,1,0,0,1
Sophie Polkamp,24,2008,8/24/08,Hockey,1,0,0,1
Janneke Schopman,31,2008,8/24/08,Hockey,1,0,0,1
Minke Smabers,29,2008,8/24/08,Hockey,1,0,0,1
Naomi van As,25,2008,8/24/08,Hockey,1,0,0,1
Miek van Geenhuizen,26,2008,8/24/08,Hockey,1,0,0,1
Lidewij Welten,18,2008,8/24/08,Hockey,1,0,0,1
Minke Booij,27,2004,8/29/04,Hockey,0,1,0,1
Ageeth Boomgaardt,31,2004,8/29/04,Hockey,0,1,0,1
Matthijs Brouwer,24,2004,8/29/04,Hockey,0,1,0,1
Ronald Brouwer,25,2004,8/29/04,Hockey,0,1,0,1
Chantal de Bruijn,28,2004,8/29/04,Hockey,0,1,0,1
Teun de Nooijer,28,2004,8/29/04,Hockey,0,1,0,1
Lisanne de Roever,25,2004,8/29/04,Hockey,0,1,0,1
Jeroen Delmeé,31,2004,8/29/04,Hockey,0,1,0,1
Geert-Jan Derikx,23,2004,8/29/04,Hockey,0,1,0,1
Rob Derikx,21,2004,8/29/04,Hockey,0,1,0,1
Mijntje Donners,30,2004,8/29/04,Hockey,0,1,0,1
Marten Eikelboom,30,2004,8/29/04,Hockey,0,1,0,1
Floris Evers,21,2004,8/29/04,Hockey,0,1,0,1
Erik Jazet,33,2004,8/29/04,Hockey,0,1,0,1
Sylvia Karres,27,2004,8/29/04,Hockey,0,1,0,1
Karel Klaver,25,2004,8/29/04,Hockey,0,1,0,1
Jesse Mahieu,26,2004,8/29/04,Hockey,0,1,0,1
Fátima Moreira de Melo,26,2004,8/29/04,Hockey,0,1,0,1
Eefke Mulder,26,2004,8/29/04,Hockey,0,1,0,1
Rob Reckers,22,2004,8/29/04,Hockey,0,1,0,1
Maartje Scheepstra,24,2004,8/29/04,Hockey,0,1,0,1
Janneke Schopman,27,2004,8/29/04,Hockey,0,1,0,1
Clarinda Sinnige,31,2004,8/29/04,Hockey,0,1,0,1
Minke Smabers,25,2004,8/29/04,Hockey,0,1,0,1
Jiske Snoeks,26,2004,8/29/04,Hockey,0,1,0,1
Taeke Taekema,24,2004,8/29/04,Hockey,0,1,0,1
Macha van der Vaart,32,2004,8/29/04,Hockey,0,1,0,1
Sander van der Weide,28,2004,8/29/04,Hockey,0,1,0,1
Miek van Geenhuizen,22,2004,8/29/04,Hockey,0,1,0,1
Lieve van Kessel,26,2004,8/29/04,Hockey,0,1,0,1
Klaas Veering,22,2004,8/29/04,Hockey,0,1,0,1
Guus Vogels,29,2004,8/29/04,Hockey,0,1,0,1
Minke Booij,23,2000,10/1/00,Hockey,0,0,1,1
Ageeth Boomgaardt,27,2000,10/1/00,Hockey,0,0,1,1
Jacques Brinkman,34,2000,10/1/00,Hockey,1,0,0,1
Jaap-Derk Buma,28,2000,10/1/00,Hockey,1,0,0,1
Teun de Nooijer,24,2000,10/1/00,Hockey,1,0,0,1
Julie Deiters,25,2000,10/1/00,Hockey,0,0,1,1
Jeroen Delmeé,27,2000,10/1/00,Hockey,1,0,0,1
Mijntje Donners,26,2000,10/1/00,Hockey,0,0,1,1
Marten Eikelboom,26,2000,10/1/00,Hockey,1,0,0,1
Piet-Hein Geeris,28,2000,10/1/00,Hockey,1,0,0,1
Ronald Jansen,36,2000,10/1/00,Hockey,1,0,0,1
Erik Jazet,29,2000,10/1/00,Hockey,1,0,0,1
Bram Lomans,25,2000,10/1/00,Hockey,1,0,0,1
Fátima Moreira de Melo,22,2000,10/1/00,Hockey,0,0,1,1
Clarinda Sinnige,27,2000,10/1/00,Hockey,0,0,1,1
Hanneke Smabers,26,2000,10/1/00,Hockey,0,0,1,1
Minke Smabers,21,2000,10/1/00,Hockey,0,0,1,1
Margje Teeuwen,26,2000,10/1/00,Hockey,0,0,1,1
Carole Thate,28,2000,10/1/00,Hockey,0,0,1,1
Daphne Touw,30,2000,10/1/00,Hockey,0,0,1,1
Fleur van de Kieft,26,2000,10/1/00,Hockey,0,0,1,1
Dillianne van den Boogaard,26,2000,10/1/00,Hockey,0,0,1,1
Macha van der Vaart,28,2000,10/1/00,Hockey,0,0,1,1
Sander van der Weide,24,2000,10/1/00,Hockey,1,0,0,1
Suzan van der Wielen,28,2000,10/1/00,Hockey,0,0,1,1
Wouter van Pelt,32,2000,10/1/00,Hockey,1,0,0,1
Diederik van Weel,26,2000,10/1/00,Hockey,1,0,0,1
Remco van Wijk,27,2000,10/1/00,Hockey,1,0,0,1
Stephan Veen,30,2000,10/1/00,Hockey,1,0,0,1
Myrna Veenstra,25,2000,10/1/00,Hockey,0,0,1,1
Guus Vogels,25,2000,10/1/00,Hockey,1,0,0,1
Peter Wind,27,2000,10/1/00,Hockey,1,0,0,1
Epke Zonderland,26,2012,8/12/12,Gymnastics,1,0,0,1
Edward Gal,42,2012,8/12/12,Equestrian,0,0,1,1
Marc Houtzager,41,2012,8/12/12,Equestrian,0,1,0,1
Maikel van der Vleuten,24,2012,8/12/12,Equestrian,0,1,0,1
Anky van Grunsven,44,2012,8/12/12,Equestrian,0,0,1,1
Jur Vrieling,43,2012,8/12/12,Equestrian,0,1,0,1
Hans Peter Minderhoud,34,2008,8/24/08,Equestrian,0,1,0,1
Imke Schellekens-Bartels,31,2008,8/24/08,Equestrian,0,1,0,1
Anky van Grunsven,36,2004,8/29/04,Equestrian,1,0,0,1
Ellen Bontje,42,2000,10/1/00,Equestrian,0,1,0,1
Jeroen Dubbeldam,27,2000,10/1/00,Equestrian,1,0,0,1
Arjen Teeuwissen,29,2000,10/1/00,Equestrian,0,1,0,1
Coby van Baalen,43,2000,10/1/00,Equestrian,0,1,0,1
Albert Voorn,44,2000,10/1/00,Equestrian,0,1,0,1
Teun Mulder,31,2012,8/12/12,Cycling,0,0,1,1
Laura Smulders,18,2012,8/12/12,Cycling,0,0,1,1
Marianne Vos,25,2012,8/12/12,Cycling,1,0,0,1
Marianne Vos,21,2008,8/24/08,Cycling,1,0,0,1
Theo Bos,21,2004,8/29/04,Cycling,0,1,0,1
Bart Brentjens,35,2004,8/29/04,Cycling,0,0,1,1
Mia Audina,24,2004,8/29/04,Badminton,0,1,0,1
Wietse van Alten,21,2000,10/1/00,Archery,0,0,1,1
